country,year,di_state,no_RandR
Albania,2006,Ministry of Finance,No Crisis Data
Albania,2007,Ministry of Finance,No Crisis Data
Algeria,1970,No Explicit DI,Data Available
Algeria,1971,No Explicit DI,Data Available
Algeria,1972,No Explicit DI,Data Available
Algeria,1973,No Explicit DI,Data Available
Algeria,1974,No Explicit DI,Data Available
Algeria,1975,No Explicit DI,Data Available
Algeria,1976,No Explicit DI,Data Available
Algeria,1977,No Explicit DI,Data Available
Algeria,1978,No Explicit DI,Data Available
Algeria,1979,No Explicit DI,Data Available
Algeria,1980,No Explicit DI,Data Available
Algeria,1981,No Explicit DI,Data Available
Algeria,1982,No Explicit DI,Data Available
Algeria,1983,No Explicit DI,Data Available
Algeria,1984,No Explicit DI,Data Available
Algeria,1985,No Explicit DI,Data Available
Algeria,1986,No Explicit DI,Data Available
Algeria,1987,No Explicit DI,Data Available
Algeria,1988,No Explicit DI,Data Available
Algeria,1989,No Explicit DI,Data Available
Algeria,1990,No Explicit DI,Data Available
Algeria,1991,No Explicit DI,Data Available
Algeria,1992,No Explicit DI,Data Available
Algeria,1993,No Explicit DI,Data Available
Algeria,1994,No Explicit DI,Data Available
Algeria,1995,No Explicit DI,Data Available
Algeria,1996,No Explicit DI,Data Available
Algeria,1997,Central Bank,Data Available
Algeria,1998,Central Bank,Data Available
Algeria,1999,Central Bank,Data Available
Algeria,2000,Central Bank,Data Available
Algeria,2001,Central Bank,Data Available
Algeria,2002,Central Bank,Data Available
Algeria,2003,Central Bank,Data Available
Algeria,2004,Central Bank,Data Available
Algeria,2005,Central Bank,Data Available
Algeria,2006,Central Bank,Data Available
Algeria,2007,Central Bank,Data Available
Angola,1975,No Explicit DI,Data Available
Angola,1976,No Explicit DI,Data Available
Angola,1977,No Explicit DI,Data Available
Angola,1978,No Explicit DI,Data Available
Angola,1979,No Explicit DI,Data Available
Angola,1980,No Explicit DI,Data Available
Angola,1981,No Explicit DI,Data Available
Angola,1982,No Explicit DI,Data Available
Angola,1983,No Explicit DI,Data Available
Angola,1984,No Explicit DI,Data Available
Angola,1985,No Explicit DI,Data Available
Angola,1986,No Explicit DI,Data Available
Angola,1987,No Explicit DI,Data Available
Angola,1988,No Explicit DI,Data Available
Angola,1989,No Explicit DI,Data Available
Angola,1990,No Explicit DI,Data Available
Angola,1991,No Explicit DI,Data Available
Angola,1992,No Explicit DI,Data Available
Angola,1993,No Explicit DI,Data Available
Angola,1994,No Explicit DI,Data Available
Angola,1995,No Explicit DI,Data Available
Angola,1996,No Explicit DI,Data Available
Angola,1997,No Explicit DI,Data Available
Angola,1998,No Explicit DI,Data Available
Angola,1999,No Explicit DI,Data Available
Angola,2000,No Explicit DI,Data Available
Angola,2001,No Explicit DI,Data Available
Angola,2002,No Explicit DI,Data Available
Angola,2003,No Explicit DI,Data Available
Angola,2004,No Explicit DI,Data Available
Angola,2005,No Explicit DI,Data Available
Angola,2006,No Explicit DI,Data Available
Angola,2007,No Explicit DI,Data Available
Argentina,1970,No Explicit DI,Data Available
Argentina,1971,No Explicit DI,Data Available
Argentina,1972,No Explicit DI,Data Available
Argentina,1973,No Explicit DI,Data Available
Argentina,1974,No Explicit DI,Data Available
Argentina,1975,No Explicit DI,Data Available
Argentina,1976,No Explicit DI,Data Available
Argentina,1977,No Explicit DI,Data Available
Argentina,1978,No Explicit DI,Data Available
Argentina,1979,Central Bank,Data Available
Argentina,1980,Central Bank,Data Available
Argentina,1981,Central Bank,Data Available
Argentina,1982,Central Bank,Data Available
Argentina,1983,Central Bank,Data Available
Argentina,1984,Central Bank,Data Available
Argentina,1985,Central Bank,Data Available
Argentina,1986,Central Bank,Data Available
Argentina,1987,Central Bank,Data Available
Argentina,1988,Central Bank,Data Available
Argentina,1989,Central Bank,Data Available
Argentina,1990,Central Bank,Data Available
Argentina,1991,Central Bank,Data Available
Argentina,1992,No Explicit DI,Data Available
Argentina,1993,No Explicit DI,Data Available
Argentina,1994,No Explicit DI,Data Available
Argentina,1995,Special./Indp.,Data Available
Argentina,1996,Special./Indp.,Data Available
Argentina,1997,Special./Indp.,Data Available
Argentina,1998,Special./Indp.,Data Available
Argentina,1999,Special./Indp.,Data Available
Argentina,2000,Special./Indp.,Data Available
Argentina,2001,Special./Indp.,Data Available
Argentina,2002,Special./Indp.,Data Available
Argentina,2003,Special./Indp.,Data Available
Argentina,2004,Special./Indp.,Data Available
Argentina,2005,Special./Indp.,Data Available
Argentina,2006,Special./Indp.,Data Available
Argentina,2007,Special./Indp.,Data Available
Armenia,1991,No Explicit DI,No Crisis Data
Armenia,1992,No Explicit DI,No Crisis Data
Armenia,1993,No Explicit DI,No Crisis Data
Armenia,1994,No Explicit DI,No Crisis Data
Armenia,1995,No Explicit DI,No Crisis Data
Armenia,1996,No Explicit DI,No Crisis Data
Armenia,1997,No Explicit DI,No Crisis Data
Armenia,1998,No Explicit DI,No Crisis Data
Armenia,1999,No Explicit DI,No Crisis Data
Armenia,2000,No Explicit DI,No Crisis Data
Armenia,2001,No Explicit DI,No Crisis Data
Armenia,2002,No Explicit DI,No Crisis Data
Armenia,2003,No Explicit DI,No Crisis Data
Armenia,2004,Special./Indp.,No Crisis Data
Armenia,2005,Special./Indp.,No Crisis Data
Armenia,2006,Special./Indp.,No Crisis Data
Armenia,2007,Special./Indp.,No Crisis Data
Australia,1970,No Explicit DI,Data Available
Australia,1971,No Explicit DI,Data Available
Australia,1972,No Explicit DI,Data Available
Australia,1973,No Explicit DI,Data Available
Australia,1974,No Explicit DI,Data Available
Australia,1975,No Explicit DI,Data Available
Australia,1976,No Explicit DI,Data Available
Australia,1977,No Explicit DI,Data Available
Australia,1978,No Explicit DI,Data Available
Australia,1979,No Explicit DI,Data Available
Australia,1980,No Explicit DI,Data Available
Australia,1981,No Explicit DI,Data Available
Australia,1982,No Explicit DI,Data Available
Australia,1983,No Explicit DI,Data Available
Australia,1984,No Explicit DI,Data Available
Australia,1985,No Explicit DI,Data Available
Australia,1986,No Explicit DI,Data Available
Australia,1987,No Explicit DI,Data Available
Australia,1988,No Explicit DI,Data Available
Australia,1989,No Explicit DI,Data Available
Australia,1990,No Explicit DI,Data Available
Australia,1991,No Explicit DI,Data Available
Australia,1992,No Explicit DI,Data Available
Australia,1993,No Explicit DI,Data Available
Australia,1994,No Explicit DI,Data Available
Australia,1995,No Explicit DI,Data Available
Australia,1996,No Explicit DI,Data Available
Australia,1997,No Explicit DI,Data Available
Australia,1998,No Explicit DI,Data Available
Australia,1999,No Explicit DI,Data Available
Australia,2000,No Explicit DI,Data Available
Australia,2001,No Explicit DI,Data Available
Australia,2002,No Explicit DI,Data Available
Australia,2003,No Explicit DI,Data Available
Australia,2004,No Explicit DI,Data Available
Australia,2005,No Explicit DI,Data Available
Australia,2006,No Explicit DI,Data Available
Australia,2007,No Explicit DI,Data Available
Austria,1970,No Explicit DI,Data Available
Austria,1971,No Explicit DI,Data Available
Austria,1972,No Explicit DI,Data Available
Austria,1973,No Explicit DI,Data Available
Austria,1974,No Explicit DI,Data Available
Austria,1975,No Explicit DI,Data Available
Austria,1976,No Explicit DI,Data Available
Austria,1977,No Explicit DI,Data Available
Austria,1978,No Explicit DI,Data Available
Austria,1979,Special./Indp.,Data Available
Austria,1980,Special./Indp.,Data Available
Austria,1981,Special./Indp.,Data Available
Austria,1982,Special./Indp.,Data Available
Austria,1983,Special./Indp.,Data Available
Austria,1984,Special./Indp.,Data Available
Austria,1985,Special./Indp.,Data Available
Austria,1986,Special./Indp.,Data Available
Austria,1987,Special./Indp.,Data Available
Austria,1988,Special./Indp.,Data Available
Austria,1989,Special./Indp.,Data Available
Austria,1990,Special./Indp.,Data Available
Austria,1991,Special./Indp.,Data Available
Austria,1992,Special./Indp.,Data Available
Austria,1993,Special./Indp.,Data Available
Austria,1994,Special./Indp.,Data Available
Austria,1995,Special./Indp.,Data Available
Austria,1996,Special./Indp.,Data Available
Austria,1997,Special./Indp.,Data Available
Austria,1998,Special./Indp.,Data Available
Austria,1999,Special./Indp.,Data Available
Austria,2000,Special./Indp.,Data Available
Austria,2001,Special./Indp.,Data Available
Austria,2002,Special./Indp.,Data Available
Austria,2003,Special./Indp.,Data Available
Austria,2004,Special./Indp.,Data Available
Austria,2005,Special./Indp.,Data Available
Austria,2006,Special./Indp.,Data Available
Austria,2007,Special./Indp.,Data Available
Azerbaijan,1991,No Explicit DI,No Crisis Data
Azerbaijan,1992,No Explicit DI,No Crisis Data
Azerbaijan,1993,No Explicit DI,No Crisis Data
Azerbaijan,1994,No Explicit DI,No Crisis Data
Azerbaijan,1995,No Explicit DI,No Crisis Data
Azerbaijan,1996,No Explicit DI,No Crisis Data
Azerbaijan,1997,No Explicit DI,No Crisis Data
Azerbaijan,1998,No Explicit DI,No Crisis Data
Azerbaijan,1999,No Explicit DI,No Crisis Data
Azerbaijan,2000,No Explicit DI,No Crisis Data
Azerbaijan,2001,No Explicit DI,No Crisis Data
Azerbaijan,2002,No Explicit DI,No Crisis Data
Azerbaijan,2003,No Explicit DI,No Crisis Data
Azerbaijan,2004,No Explicit DI,No Crisis Data
Azerbaijan,2005,No Explicit DI,No Crisis Data
Azerbaijan,2006,No Explicit DI,No Crisis Data
Azerbaijan,2007,Special./Indp.,No Crisis Data
Bahamas,1973,No Explicit DI,No Crisis Data
Bahamas,1974,No Explicit DI,No Crisis Data
Bahamas,1975,No Explicit DI,No Crisis Data
Bahamas,1976,No Explicit DI,No Crisis Data
Bahamas,1977,No Explicit DI,No Crisis Data
Bahamas,1978,No Explicit DI,No Crisis Data
Bahamas,1979,No Explicit DI,No Crisis Data
Bahamas,1980,No Explicit DI,No Crisis Data
Bahamas,1981,No Explicit DI,No Crisis Data
Bahamas,1982,No Explicit DI,No Crisis Data
Bahamas,1983,No Explicit DI,No Crisis Data
Bahamas,1984,No Explicit DI,No Crisis Data
Bahamas,1985,No Explicit DI,No Crisis Data
Bahamas,1986,No Explicit DI,No Crisis Data
Bahamas,1987,No Explicit DI,No Crisis Data
Bahamas,1988,No Explicit DI,No Crisis Data
Bahamas,1989,No Explicit DI,No Crisis Data
Bahamas,1990,No Explicit DI,No Crisis Data
Bahamas,1991,No Explicit DI,No Crisis Data
Bahamas,1992,No Explicit DI,No Crisis Data
Bahamas,1993,No Explicit DI,No Crisis Data
Bahamas,1994,No Explicit DI,No Crisis Data
Bahamas,1995,No Explicit DI,No Crisis Data
Bahamas,1996,No Explicit DI,No Crisis Data
Bahamas,1997,No Explicit DI,No Crisis Data
Bahamas,1998,No Explicit DI,No Crisis Data
Bahamas,1999,Special./Indp.,No Crisis Data
Bahamas,2000,Special./Indp.,No Crisis Data
Bahamas,2001,Special./Indp.,No Crisis Data
Bahamas,2002,Special./Indp.,No Crisis Data
Bahamas,2003,Special./Indp.,No Crisis Data
Bahamas,2004,Special./Indp.,No Crisis Data
Bahamas,2005,Special./Indp.,No Crisis Data
Bahamas,2006,Special./Indp.,No Crisis Data
Bahamas,2007,Special./Indp.,No Crisis Data
Bahrain,1971,No Explicit DI,No Crisis Data
Bahrain,1972,No Explicit DI,No Crisis Data
Bahrain,1973,No Explicit DI,No Crisis Data
Bahrain,1974,No Explicit DI,No Crisis Data
Bahrain,1975,No Explicit DI,No Crisis Data
Bahrain,1976,No Explicit DI,No Crisis Data
Bahrain,1977,No Explicit DI,No Crisis Data
Bahrain,1978,No Explicit DI,No Crisis Data
Bahrain,1979,No Explicit DI,No Crisis Data
Bahrain,1980,No Explicit DI,No Crisis Data
Bahrain,1981,No Explicit DI,No Crisis Data
Bahrain,1982,No Explicit DI,No Crisis Data
Bahrain,1983,No Explicit DI,No Crisis Data
Bahrain,1984,No Explicit DI,No Crisis Data
Bahrain,1985,No Explicit DI,No Crisis Data
Bahrain,1986,No Explicit DI,No Crisis Data
Bahrain,1987,No Explicit DI,No Crisis Data
Bahrain,1988,No Explicit DI,No Crisis Data
Bahrain,1989,No Explicit DI,No Crisis Data
Bahrain,1990,No Explicit DI,No Crisis Data
Bahrain,1991,No Explicit DI,No Crisis Data
Bahrain,1992,No Explicit DI,No Crisis Data
Bahrain,1993,Special./Indp.,No Crisis Data
Bahrain,1994,Special./Indp.,No Crisis Data
Bahrain,1995,Special./Indp.,No Crisis Data
Bahrain,1996,Special./Indp.,No Crisis Data
Bahrain,1997,Special./Indp.,No Crisis Data
Bahrain,1998,Special./Indp.,No Crisis Data
Bahrain,1999,Special./Indp.,No Crisis Data
Bahrain,2000,Special./Indp.,No Crisis Data
Bahrain,2001,Special./Indp.,No Crisis Data
Bahrain,2002,Special./Indp.,No Crisis Data
Bahrain,2003,Special./Indp.,No Crisis Data
Bahrain,2004,Special./Indp.,No Crisis Data
Bahrain,2005,Special./Indp.,No Crisis Data
Bahrain,2006,Special./Indp.,No Crisis Data
Bahrain,2007,Special./Indp.,No Crisis Data
Bangladesh,1971,No Explicit DI,No Crisis Data
Bangladesh,1972,No Explicit DI,No Crisis Data
Bangladesh,1973,No Explicit DI,No Crisis Data
Bangladesh,1974,No Explicit DI,No Crisis Data
Bangladesh,1975,No Explicit DI,No Crisis Data
Bangladesh,1976,No Explicit DI,No Crisis Data
Bangladesh,1977,No Explicit DI,No Crisis Data
Bangladesh,1978,No Explicit DI,No Crisis Data
Bangladesh,1979,No Explicit DI,No Crisis Data
Bangladesh,1980,No Explicit DI,No Crisis Data
Bangladesh,1981,No Explicit DI,No Crisis Data
Bangladesh,1982,No Explicit DI,No Crisis Data
Bangladesh,1983,No Explicit DI,No Crisis Data
Bangladesh,1984,Special./Indp.,No Crisis Data
Bangladesh,1985,Special./Indp.,No Crisis Data
Bangladesh,1986,Special./Indp.,No Crisis Data
Bangladesh,1987,Special./Indp.,No Crisis Data
Bangladesh,1988,Special./Indp.,No Crisis Data
Bangladesh,1989,Special./Indp.,No Crisis Data
Bangladesh,1990,Special./Indp.,No Crisis Data
Bangladesh,1991,Special./Indp.,No Crisis Data
Bangladesh,1992,Special./Indp.,No Crisis Data
Bangladesh,1993,Special./Indp.,No Crisis Data
Bangladesh,1994,Special./Indp.,No Crisis Data
Bangladesh,1995,Special./Indp.,No Crisis Data
Bangladesh,1996,Special./Indp.,No Crisis Data
Bangladesh,1997,Special./Indp.,No Crisis Data
Bangladesh,1998,Special./Indp.,No Crisis Data
Bangladesh,1999,Special./Indp.,No Crisis Data
Bangladesh,2000,Special./Indp.,No Crisis Data
Bangladesh,2001,Special./Indp.,No Crisis Data
Bangladesh,2002,Special./Indp.,No Crisis Data
Bangladesh,2003,Special./Indp.,No Crisis Data
Bangladesh,2004,Special./Indp.,No Crisis Data
Bangladesh,2005,Special./Indp.,No Crisis Data
Bangladesh,2006,Special./Indp.,No Crisis Data
Bangladesh,2007,Special./Indp.,No Crisis Data
Barbados,1970,No Explicit DI,No Crisis Data
Barbados,1971,No Explicit DI,No Crisis Data
Barbados,1972,No Explicit DI,No Crisis Data
Barbados,1973,No Explicit DI,No Crisis Data
Barbados,1974,No Explicit DI,No Crisis Data
Barbados,1975,No Explicit DI,No Crisis Data
Barbados,1976,No Explicit DI,No Crisis Data
Barbados,1977,No Explicit DI,No Crisis Data
Barbados,1978,No Explicit DI,No Crisis Data
Barbados,1979,No Explicit DI,No Crisis Data
Barbados,1980,No Explicit DI,No Crisis Data
Barbados,1981,No Explicit DI,No Crisis Data
Barbados,1982,No Explicit DI,No Crisis Data
Barbados,1983,No Explicit DI,No Crisis Data
Barbados,1984,No Explicit DI,No Crisis Data
Barbados,1985,No Explicit DI,No Crisis Data
Barbados,1986,No Explicit DI,No Crisis Data
Barbados,1987,No Explicit DI,No Crisis Data
Barbados,1988,No Explicit DI,No Crisis Data
Barbados,1989,No Explicit DI,No Crisis Data
Barbados,1990,No Explicit DI,No Crisis Data
Barbados,1991,No Explicit DI,No Crisis Data
Barbados,1992,No Explicit DI,No Crisis Data
Barbados,1993,No Explicit DI,No Crisis Data
Barbados,1994,No Explicit DI,No Crisis Data
Barbados,1995,No Explicit DI,No Crisis Data
Barbados,1996,No Explicit DI,No Crisis Data
Barbados,1997,No Explicit DI,No Crisis Data
Barbados,1998,No Explicit DI,No Crisis Data
Barbados,1999,No Explicit DI,No Crisis Data
Barbados,2000,No Explicit DI,No Crisis Data
Barbados,2001,No Explicit DI,No Crisis Data
Barbados,2002,No Explicit DI,No Crisis Data
Barbados,2003,No Explicit DI,No Crisis Data
Barbados,2004,No Explicit DI,No Crisis Data
Barbados,2005,No Explicit DI,No Crisis Data
Barbados,2006,No Explicit DI,No Crisis Data
Barbados,2007,Special./Indp.,No Crisis Data
Belarus,1991,No Explicit DI,No Crisis Data
Belarus,1992,No Explicit DI,No Crisis Data
Belarus,1993,No Explicit DI,No Crisis Data
Belarus,1994,No Explicit DI,No Crisis Data
Belarus,1995,No Explicit DI,No Crisis Data
Belarus,1996,Ministry of Finance,No Crisis Data
Belarus,1997,Ministry of Finance,No Crisis Data
Belarus,1998,Ministry of Finance,No Crisis Data
Belarus,1999,Ministry of Finance,No Crisis Data
Belarus,2000,Central Bank,No Crisis Data
Belarus,2001,Central Bank,No Crisis Data
Belarus,2002,Central Bank,No Crisis Data
Belarus,2003,Central Bank,No Crisis Data
Belarus,2004,Central Bank,No Crisis Data
Belarus,2005,Central Bank,No Crisis Data
Belarus,2006,Central Bank,No Crisis Data
Belarus,2007,Central Bank,No Crisis Data
Belgium,1970,No Explicit DI,Data Available
Belgium,1971,No Explicit DI,Data Available
Belgium,1972,No Explicit DI,Data Available
Belgium,1973,No Explicit DI,Data Available
Belgium,1974,Special./Indp.,Data Available
Belgium,1975,Special./Indp.,Data Available
Belgium,1976,Special./Indp.,Data Available
Belgium,1977,Special./Indp.,Data Available
Belgium,1978,Special./Indp.,Data Available
Belgium,1979,Special./Indp.,Data Available
Belgium,1980,Special./Indp.,Data Available
Belgium,1981,Special./Indp.,Data Available
Belgium,1982,Special./Indp.,Data Available
Belgium,1983,Special./Indp.,Data Available
Belgium,1984,Special./Indp.,Data Available
Belgium,1985,Special./Indp.,Data Available
Belgium,1986,Special./Indp.,Data Available
Belgium,1987,Special./Indp.,Data Available
Belgium,1988,Special./Indp.,Data Available
Belgium,1989,Special./Indp.,Data Available
Belgium,1990,Special./Indp.,Data Available
Belgium,1991,Special./Indp.,Data Available
Belgium,1992,Special./Indp.,Data Available
Belgium,1993,Special./Indp.,Data Available
Belgium,1994,Special./Indp.,Data Available
Belgium,1995,Special./Indp.,Data Available
Belgium,1996,Special./Indp.,Data Available
Belgium,1997,Special./Indp.,Data Available
Belgium,1998,Special./Indp.,Data Available
Belgium,1999,Special./Indp.,Data Available
Belgium,2000,Special./Indp.,Data Available
Belgium,2001,Special./Indp.,Data Available
Belgium,2002,Special./Indp.,Data Available
Belgium,2003,Special./Indp.,Data Available
Belgium,2004,Special./Indp.,Data Available
Belgium,2005,Special./Indp.,Data Available
Belgium,2006,Special./Indp.,Data Available
Belgium,2007,Special./Indp.,Data Available
Belize,1981,No Explicit DI,No Crisis Data
Belize,1982,No Explicit DI,No Crisis Data
Belize,1983,No Explicit DI,No Crisis Data
Belize,1984,No Explicit DI,No Crisis Data
Belize,1985,No Explicit DI,No Crisis Data
Belize,1986,No Explicit DI,No Crisis Data
Belize,1987,No Explicit DI,No Crisis Data
Belize,1988,No Explicit DI,No Crisis Data
Belize,1989,No Explicit DI,No Crisis Data
Belize,1990,No Explicit DI,No Crisis Data
Belize,1991,No Explicit DI,No Crisis Data
Belize,1992,No Explicit DI,No Crisis Data
Belize,1993,No Explicit DI,No Crisis Data
Belize,1994,No Explicit DI,No Crisis Data
Belize,1995,No Explicit DI,No Crisis Data
Belize,1996,No Explicit DI,No Crisis Data
Belize,1997,No Explicit DI,No Crisis Data
Belize,1998,No Explicit DI,No Crisis Data
Belize,1999,No Explicit DI,No Crisis Data
Belize,2000,No Explicit DI,No Crisis Data
Belize,2001,No Explicit DI,No Crisis Data
Belize,2002,No Explicit DI,No Crisis Data
Belize,2003,No Explicit DI,No Crisis Data
Belize,2004,No Explicit DI,No Crisis Data
Belize,2005,No Explicit DI,No Crisis Data
Belize,2006,No Explicit DI,No Crisis Data
Belize,2007,No Explicit DI,No Crisis Data
Benin,1970,No Explicit DI,No Crisis Data
Benin,1971,No Explicit DI,No Crisis Data
Benin,1972,No Explicit DI,No Crisis Data
Benin,1973,No Explicit DI,No Crisis Data
Benin,1974,No Explicit DI,No Crisis Data
Benin,1975,No Explicit DI,No Crisis Data
Benin,1976,No Explicit DI,No Crisis Data
Benin,1977,No Explicit DI,No Crisis Data
Benin,1978,No Explicit DI,No Crisis Data
Benin,1979,No Explicit DI,No Crisis Data
Benin,1980,No Explicit DI,No Crisis Data
Benin,1981,No Explicit DI,No Crisis Data
Benin,1982,No Explicit DI,No Crisis Data
Benin,1983,No Explicit DI,No Crisis Data
Benin,1984,No Explicit DI,No Crisis Data
Benin,1985,No Explicit DI,No Crisis Data
Benin,1986,No Explicit DI,No Crisis Data
Benin,1987,No Explicit DI,No Crisis Data
Benin,1988,No Explicit DI,No Crisis Data
Benin,1989,No Explicit DI,No Crisis Data
Benin,1990,No Explicit DI,No Crisis Data
Benin,1991,No Explicit DI,No Crisis Data
Benin,1992,No Explicit DI,No Crisis Data
Benin,1993,No Explicit DI,No Crisis Data
Benin,1994,No Explicit DI,No Crisis Data
Benin,1995,No Explicit DI,No Crisis Data
Benin,1996,No Explicit DI,No Crisis Data
Benin,1997,No Explicit DI,No Crisis Data
Benin,1998,No Explicit DI,No Crisis Data
Benin,1999,No Explicit DI,No Crisis Data
Benin,2000,No Explicit DI,No Crisis Data
Benin,2001,No Explicit DI,No Crisis Data
Benin,2002,No Explicit DI,No Crisis Data
Benin,2003,No Explicit DI,No Crisis Data
Benin,2004,No Explicit DI,No Crisis Data
Benin,2005,No Explicit DI,No Crisis Data
Benin,2006,No Explicit DI,No Crisis Data
Benin,2007,No Explicit DI,No Crisis Data
Bhutan,1970,No Explicit DI,No Crisis Data
Bhutan,1971,No Explicit DI,No Crisis Data
Bhutan,1972,No Explicit DI,No Crisis Data
Bhutan,1973,No Explicit DI,No Crisis Data
Bhutan,1974,No Explicit DI,No Crisis Data
Bhutan,1975,No Explicit DI,No Crisis Data
Bhutan,1976,No Explicit DI,No Crisis Data
Bhutan,1977,No Explicit DI,No Crisis Data
Bhutan,1978,No Explicit DI,No Crisis Data
Bhutan,1979,No Explicit DI,No Crisis Data
Bhutan,1980,No Explicit DI,No Crisis Data
Bhutan,1981,No Explicit DI,No Crisis Data
Bhutan,1982,No Explicit DI,No Crisis Data
Bhutan,1983,No Explicit DI,No Crisis Data
Bhutan,1984,No Explicit DI,No Crisis Data
Bhutan,1985,No Explicit DI,No Crisis Data
Bhutan,1986,No Explicit DI,No Crisis Data
Bhutan,1987,No Explicit DI,No Crisis Data
Bhutan,1988,No Explicit DI,No Crisis Data
Bhutan,1989,No Explicit DI,No Crisis Data
Bhutan,1990,No Explicit DI,No Crisis Data
Bhutan,1991,No Explicit DI,No Crisis Data
Bhutan,1992,No Explicit DI,No Crisis Data
Bhutan,1993,No Explicit DI,No Crisis Data
Bhutan,1994,No Explicit DI,No Crisis Data
Bhutan,1995,No Explicit DI,No Crisis Data
Bhutan,1996,No Explicit DI,No Crisis Data
Bhutan,1997,No Explicit DI,No Crisis Data
Bhutan,1998,No Explicit DI,No Crisis Data
Bhutan,1999,No Explicit DI,No Crisis Data
Bhutan,2000,No Explicit DI,No Crisis Data
Bhutan,2001,No Explicit DI,No Crisis Data
Bhutan,2002,No Explicit DI,No Crisis Data
Bhutan,2003,No Explicit DI,No Crisis Data
Bhutan,2004,No Explicit DI,No Crisis Data
Bhutan,2005,No Explicit DI,No Crisis Data
Bhutan,2006,No Explicit DI,No Crisis Data
Bhutan,2007,No Explicit DI,No Crisis Data
Bolivia,1970,No Explicit DI,Data Available
Bolivia,1971,No Explicit DI,Data Available
Bolivia,1972,No Explicit DI,Data Available
Bolivia,1973,No Explicit DI,Data Available
Bolivia,1974,No Explicit DI,Data Available
Bolivia,1975,No Explicit DI,Data Available
Bolivia,1976,No Explicit DI,Data Available
Bolivia,1977,No Explicit DI,Data Available
Bolivia,1978,No Explicit DI,Data Available
Bolivia,1979,No Explicit DI,Data Available
Bolivia,1980,No Explicit DI,Data Available
Bolivia,1981,No Explicit DI,Data Available
