iso2c,country,year,di_state,no_RandR
AF,Afghanistan,2005,No Explicit DI,No Crisis Data
AF,Afghanistan,2006,No Explicit DI,No Crisis Data
AF,Afghanistan,2007,No Explicit DI,No Crisis Data
AL,Albania,1970,No Explicit DI,No Crisis Data
AL,Albania,1971,No Explicit DI,No Crisis Data
AL,Albania,1972,No Explicit DI,No Crisis Data
AL,Albania,1973,No Explicit DI,No Crisis Data
AL,Albania,1974,No Explicit DI,No Crisis Data
AL,Albania,1975,No Explicit DI,No Crisis Data
AL,Albania,1976,No Explicit DI,No Crisis Data
AL,Albania,1977,No Explicit DI,No Crisis Data
AL,Albania,1978,No Explicit DI,No Crisis Data
AL,Albania,1979,No Explicit DI,No Crisis Data
AL,Albania,1980,No Explicit DI,No Crisis Data
AL,Albania,1981,No Explicit DI,No Crisis Data
AL,Albania,1982,No Explicit DI,No Crisis Data
AL,Albania,1983,No Explicit DI,No Crisis Data
AL,Albania,1984,No Explicit DI,No Crisis Data
AL,Albania,1985,No Explicit DI,No Crisis Data
AL,Albania,1986,No Explicit DI,No Crisis Data
AL,Albania,1987,No Explicit DI,No Crisis Data
AL,Albania,1988,No Explicit DI,No Crisis Data
AL,Albania,1989,No Explicit DI,No Crisis Data
AL,Albania,1990,No Explicit DI,No Crisis Data
AL,Albania,1991,No Explicit DI,No Crisis Data
AL,Albania,1992,No Explicit DI,No Crisis Data
AL,Albania,1993,No Explicit DI,No Crisis Data
AL,Albania,1994,No Explicit DI,No Crisis Data
AL,Albania,1995,No Explicit DI,No Crisis Data
AL,Albania,1996,No Explicit DI,No Crisis Data
AL,Albania,1997,No Explicit DI,No Crisis Data
AL,Albania,1998,No Explicit DI,No Crisis Data
AL,Albania,1999,No Explicit DI,No Crisis Data
AL,Albania,2000,No Explicit DI,No Crisis Data
AL,Albania,2001,No Explicit DI,No Crisis Data
AL,Albania,2002,Ministry of Finance,No Crisis Data
AL,Albania,2003,Ministry of Finance,No Crisis Data
AL,Albania,2004,Ministry of Finance,No Crisis Data
AL,Albania,2005,Ministry of Finance,No Crisis Data
AL,Albania,2006,Ministry of Finance,No Crisis Data
AL,Albania,2007,Ministry of Finance,No Crisis Data
DZ,Algeria,1970,No Explicit DI,Data Available
DZ,Algeria,1971,No Explicit DI,Data Available
DZ,Algeria,1972,No Explicit DI,Data Available
DZ,Algeria,1973,No Explicit DI,Data Available
DZ,Algeria,1974,No Explicit DI,Data Available
DZ,Algeria,1975,No Explicit DI,Data Available
DZ,Algeria,1976,No Explicit DI,Data Available
DZ,Algeria,1977,No Explicit DI,Data Available
DZ,Algeria,1978,No Explicit DI,Data Available
DZ,Algeria,1979,No Explicit DI,Data Available
DZ,Algeria,1980,No Explicit DI,Data Available
DZ,Algeria,1981,No Explicit DI,Data Available
DZ,Algeria,1982,No Explicit DI,Data Available
DZ,Algeria,1983,No Explicit DI,Data Available
DZ,Algeria,1984,No Explicit DI,Data Available
DZ,Algeria,1985,No Explicit DI,Data Available
DZ,Algeria,1986,No Explicit DI,Data Available
DZ,Algeria,1987,No Explicit DI,Data Available
DZ,Algeria,1988,No Explicit DI,Data Available
DZ,Algeria,1989,No Explicit DI,Data Available
DZ,Algeria,1990,No Explicit DI,Data Available
DZ,Algeria,1991,No Explicit DI,Data Available
DZ,Algeria,1992,No Explicit DI,Data Available
DZ,Algeria,1993,No Explicit DI,Data Available
DZ,Algeria,1994,No Explicit DI,Data Available
DZ,Algeria,1995,No Explicit DI,Data Available
DZ,Algeria,1996,No Explicit DI,Data Available
DZ,Algeria,1997,Central Bank,Data Available
DZ,Algeria,1998,Central Bank,Data Available
DZ,Algeria,1999,Central Bank,Data Available
DZ,Algeria,2000,Central Bank,Data Available
DZ,Algeria,2001,Central Bank,Data Available
DZ,Algeria,2002,Central Bank,Data Available
DZ,Algeria,2003,Central Bank,Data Available
DZ,Algeria,2004,Central Bank,Data Available
DZ,Algeria,2005,Central Bank,Data Available
DZ,Algeria,2006,Central Bank,Data Available
DZ,Algeria,2007,Central Bank,Data Available
AO,Angola,1975,No Explicit DI,Data Available
AO,Angola,1976,No Explicit DI,Data Available
AO,Angola,1977,No Explicit DI,Data Available
AO,Angola,1978,No Explicit DI,Data Available
AO,Angola,1979,No Explicit DI,Data Available
AO,Angola,1980,No Explicit DI,Data Available
AO,Angola,1981,No Explicit DI,Data Available
AO,Angola,1982,No Explicit DI,Data Available
AO,Angola,1983,No Explicit DI,Data Available
AO,Angola,1984,No Explicit DI,Data Available
AO,Angola,1985,No Explicit DI,Data Available
AO,Angola,1986,No Explicit DI,Data Available
AO,Angola,1987,No Explicit DI,Data Available
AO,Angola,1988,No Explicit DI,Data Available
AO,Angola,1989,No Explicit DI,Data Available
AO,Angola,1990,No Explicit DI,Data Available
AO,Angola,1991,No Explicit DI,Data Available
AO,Angola,1992,No Explicit DI,Data Available
AO,Angola,1993,No Explicit DI,Data Available
AO,Angola,1994,No Explicit DI,Data Available
AO,Angola,1995,No Explicit DI,Data Available
AO,Angola,1996,No Explicit DI,Data Available
AO,Angola,1997,No Explicit DI,Data Available
AO,Angola,1998,No Explicit DI,Data Available
AO,Angola,1999,No Explicit DI,Data Available
AO,Angola,2000,No Explicit DI,Data Available
AO,Angola,2001,No Explicit DI,Data Available
AO,Angola,2002,No Explicit DI,Data Available
AO,Angola,2003,No Explicit DI,Data Available
AO,Angola,2004,No Explicit DI,Data Available
AO,Angola,2005,No Explicit DI,Data Available
AO,Angola,2006,No Explicit DI,Data Available
AO,Angola,2007,No Explicit DI,Data Available
AR,Argentina,1970,No Explicit DI,Data Available
AR,Argentina,1971,No Explicit DI,Data Available
AR,Argentina,1972,No Explicit DI,Data Available
AR,Argentina,1973,No Explicit DI,Data Available
AR,Argentina,1974,No Explicit DI,Data Available
AR,Argentina,1975,No Explicit DI,Data Available
AR,Argentina,1976,No Explicit DI,Data Available
AR,Argentina,1977,No Explicit DI,Data Available
AR,Argentina,1978,No Explicit DI,Data Available
AR,Argentina,1979,Central Bank,Data Available
AR,Argentina,1980,Central Bank,Data Available
AR,Argentina,1981,Central Bank,Data Available
AR,Argentina,1982,Central Bank,Data Available
AR,Argentina,1983,Central Bank,Data Available
AR,Argentina,1984,Central Bank,Data Available
AR,Argentina,1985,Central Bank,Data Available
AR,Argentina,1986,Central Bank,Data Available
AR,Argentina,1987,Central Bank,Data Available
AR,Argentina,1988,Central Bank,Data Available
AR,Argentina,1989,Central Bank,Data Available
AR,Argentina,1990,Central Bank,Data Available
AR,Argentina,1991,Central Bank,Data Available
AR,Argentina,1992,No Explicit DI,Data Available
AR,Argentina,1993,No Explicit DI,Data Available
AR,Argentina,1994,No Explicit DI,Data Available
AR,Argentina,1995,Special./Indp.,Data Available
AR,Argentina,1996,Special./Indp.,Data Available
AR,Argentina,1997,Special./Indp.,Data Available
AR,Argentina,1998,Special./Indp.,Data Available
AR,Argentina,1999,Special./Indp.,Data Available
AR,Argentina,2000,Special./Indp.,Data Available
AR,Argentina,2001,Special./Indp.,Data Available
AR,Argentina,2002,Special./Indp.,Data Available
AR,Argentina,2003,Special./Indp.,Data Available
AR,Argentina,2004,Special./Indp.,Data Available
AR,Argentina,2005,Special./Indp.,Data Available
AR,Argentina,2006,Special./Indp.,Data Available
AR,Argentina,2007,Special./Indp.,Data Available
AM,Armenia,1991,No Explicit DI,No Crisis Data
AM,Armenia,1992,No Explicit DI,No Crisis Data
AM,Armenia,1993,No Explicit DI,No Crisis Data
AM,Armenia,1994,No Explicit DI,No Crisis Data
AM,Armenia,1995,No Explicit DI,No Crisis Data
AM,Armenia,1996,No Explicit DI,No Crisis Data
AM,Armenia,1997,No Explicit DI,No Crisis Data
AM,Armenia,1998,No Explicit DI,No Crisis Data
AM,Armenia,1999,No Explicit DI,No Crisis Data
AM,Armenia,2000,No Explicit DI,No Crisis Data
AM,Armenia,2001,No Explicit DI,No Crisis Data
AM,Armenia,2002,No Explicit DI,No Crisis Data
AM,Armenia,2003,No Explicit DI,No Crisis Data
AM,Armenia,2004,Special./Indp.,No Crisis Data
AM,Armenia,2005,Special./Indp.,No Crisis Data
AM,Armenia,2006,Special./Indp.,No Crisis Data
AM,Armenia,2007,Special./Indp.,No Crisis Data
AU,Australia,1970,No Explicit DI,Data Available
AU,Australia,1971,No Explicit DI,Data Available
AU,Australia,1972,No Explicit DI,Data Available
AU,Australia,1973,No Explicit DI,Data Available
AU,Australia,1974,No Explicit DI,Data Available
AU,Australia,1975,No Explicit DI,Data Available
AU,Australia,1976,No Explicit DI,Data Available
AU,Australia,1977,No Explicit DI,Data Available
AU,Australia,1978,No Explicit DI,Data Available
AU,Australia,1979,No Explicit DI,Data Available
AU,Australia,1980,No Explicit DI,Data Available
AU,Australia,1981,No Explicit DI,Data Available
AU,Australia,1982,No Explicit DI,Data Available
AU,Australia,1983,No Explicit DI,Data Available
AU,Australia,1984,No Explicit DI,Data Available
AU,Australia,1985,No Explicit DI,Data Available
AU,Australia,1986,No Explicit DI,Data Available
AU,Australia,1987,No Explicit DI,Data Available
AU,Australia,1988,No Explicit DI,Data Available
AU,Australia,1989,No Explicit DI,Data Available
AU,Australia,1990,No Explicit DI,Data Available
AU,Australia,1991,No Explicit DI,Data Available
AU,Australia,1992,No Explicit DI,Data Available
AU,Australia,1993,No Explicit DI,Data Available
AU,Australia,1994,No Explicit DI,Data Available
AU,Australia,1995,No Explicit DI,Data Available
AU,Australia,1996,No Explicit DI,Data Available
AU,Australia,1997,No Explicit DI,Data Available
AU,Australia,1998,No Explicit DI,Data Available
AU,Australia,1999,No Explicit DI,Data Available
AU,Australia,2000,No Explicit DI,Data Available
AU,Australia,2001,No Explicit DI,Data Available
AU,Australia,2002,No Explicit DI,Data Available
AU,Australia,2003,No Explicit DI,Data Available
AU,Australia,2004,No Explicit DI,Data Available
AU,Australia,2005,No Explicit DI,Data Available
AU,Australia,2006,No Explicit DI,Data Available
AU,Australia,2007,No Explicit DI,Data Available
AT,Austria,1970,No Explicit DI,Data Available
AT,Austria,1971,No Explicit DI,Data Available
AT,Austria,1972,No Explicit DI,Data Available
AT,Austria,1973,No Explicit DI,Data Available
AT,Austria,1974,No Explicit DI,Data Available
AT,Austria,1975,No Explicit DI,Data Available
AT,Austria,1976,No Explicit DI,Data Available
AT,Austria,1977,No Explicit DI,Data Available
AT,Austria,1978,No Explicit DI,Data Available
AT,Austria,1979,Special./Indp.,Data Available
AT,Austria,1980,Special./Indp.,Data Available
AT,Austria,1981,Special./Indp.,Data Available
AT,Austria,1982,Special./Indp.,Data Available
AT,Austria,1983,Special./Indp.,Data Available
AT,Austria,1984,Special./Indp.,Data Available
AT,Austria,1985,Special./Indp.,Data Available
AT,Austria,1986,Special./Indp.,Data Available
AT,Austria,1987,Special./Indp.,Data Available
AT,Austria,1988,Special./Indp.,Data Available
AT,Austria,1989,Special./Indp.,Data Available
AT,Austria,1990,Special./Indp.,Data Available
AT,Austria,1991,Special./Indp.,Data Available
AT,Austria,1992,Special./Indp.,Data Available
AT,Austria,1993,Special./Indp.,Data Available
AT,Austria,1994,Special./Indp.,Data Available
AT,Austria,1995,Special./Indp.,Data Available
AT,Austria,1996,Special./Indp.,Data Available
AT,Austria,1997,Special./Indp.,Data Available
AT,Austria,1998,Special./Indp.,Data Available
AT,Austria,1999,Special./Indp.,Data Available
AT,Austria,2000,Special./Indp.,Data Available
AT,Austria,2001,Special./Indp.,Data Available
AT,Austria,2002,Special./Indp.,Data Available
AT,Austria,2003,Special./Indp.,Data Available
AT,Austria,2004,Special./Indp.,Data Available
AT,Austria,2005,Special./Indp.,Data Available
AT,Austria,2006,Special./Indp.,Data Available
AT,Austria,2007,Special./Indp.,Data Available
AZ,Azerbaijan,1991,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1992,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1993,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1994,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1995,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1996,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1997,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1998,No Explicit DI,No Crisis Data
AZ,Azerbaijan,1999,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2000,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2001,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2002,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2003,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2004,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2005,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2006,No Explicit DI,No Crisis Data
AZ,Azerbaijan,2007,Special./Indp.,No Crisis Data
BS,Bahamas,1973,No Explicit DI,No Crisis Data
BS,Bahamas,1974,No Explicit DI,No Crisis Data
BS,Bahamas,1975,No Explicit DI,No Crisis Data
BS,Bahamas,1976,No Explicit DI,No Crisis Data
BS,Bahamas,1977,No Explicit DI,No Crisis Data
BS,Bahamas,1978,No Explicit DI,No Crisis Data
BS,Bahamas,1979,No Explicit DI,No Crisis Data
BS,Bahamas,1980,No Explicit DI,No Crisis Data
BS,Bahamas,1981,No Explicit DI,No Crisis Data
BS,Bahamas,1982,No Explicit DI,No Crisis Data
BS,Bahamas,1983,No Explicit DI,No Crisis Data
BS,Bahamas,1984,No Explicit DI,No Crisis Data
BS,Bahamas,1985,No Explicit DI,No Crisis Data
BS,Bahamas,1986,No Explicit DI,No Crisis Data
BS,Bahamas,1987,No Explicit DI,No Crisis Data
BS,Bahamas,1988,No Explicit DI,No Crisis Data
BS,Bahamas,1989,No Explicit DI,No Crisis Data
BS,Bahamas,1990,No Explicit DI,No Crisis Data
BS,Bahamas,1991,No Explicit DI,No Crisis Data
BS,Bahamas,1992,No Explicit DI,No Crisis Data
BS,Bahamas,1993,No Explicit DI,No Crisis Data
BS,Bahamas,1994,No Explicit DI,No Crisis Data
BS,Bahamas,1995,No Explicit DI,No Crisis Data
BS,Bahamas,1996,No Explicit DI,No Crisis Data
BS,Bahamas,1997,No Explicit DI,No Crisis Data
BS,Bahamas,1998,No Explicit DI,No Crisis Data
BS,Bahamas,1999,Special./Indp.,No Crisis Data
BS,Bahamas,2000,Special./Indp.,No Crisis Data
BS,Bahamas,2001,Special./Indp.,No Crisis Data
BS,Bahamas,2002,Special./Indp.,No Crisis Data
BS,Bahamas,2003,Special./Indp.,No Crisis Data
BS,Bahamas,2004,Special./Indp.,No Crisis Data
BS,Bahamas,2005,Special./Indp.,No Crisis Data
BS,Bahamas,2006,Special./Indp.,No Crisis Data
BS,Bahamas,2007,Special./Indp.,No Crisis Data
BH,Bahrain,1971,No Explicit DI,No Crisis Data
BH,Bahrain,1972,No Explicit DI,No Crisis Data
BH,Bahrain,1973,No Explicit DI,No Crisis Data
BH,Bahrain,1974,No Explicit DI,No Crisis Data
BH,Bahrain,1975,No Explicit DI,No Crisis Data
BH,Bahrain,1976,No Explicit DI,No Crisis Data
BH,Bahrain,1977,No Explicit DI,No Crisis Data
BH,Bahrain,1978,No Explicit DI,No Crisis Data
BH,Bahrain,1979,No Explicit DI,No Crisis Data
BH,Bahrain,1980,No Explicit DI,No Crisis Data
BH,Bahrain,1981,No Explicit DI,No Crisis Data
BH,Bahrain,1982,No Explicit DI,No Crisis Data
BH,Bahrain,1983,No Explicit DI,No Crisis Data
BH,Bahrain,1984,No Explicit DI,No Crisis Data
BH,Bahrain,1985,No Explicit DI,No Crisis Data
BH,Bahrain,1986,No Explicit DI,No Crisis Data
BH,Bahrain,1987,No Explicit DI,No Crisis Data
BH,Bahrain,1988,No Explicit DI,No Crisis Data
BH,Bahrain,1989,No Explicit DI,No Crisis Data
BH,Bahrain,1990,No Explicit DI,No Crisis Data
BH,Bahrain,1991,No Explicit DI,No Crisis Data
BH,Bahrain,1992,No Explicit DI,No Crisis Data
BH,Bahrain,1993,Special./Indp.,No Crisis Data
BH,Bahrain,1994,Special./Indp.,No Crisis Data
BH,Bahrain,1995,Special./Indp.,No Crisis Data
BH,Bahrain,1996,Special./Indp.,No Crisis Data
BH,Bahrain,1997,Special./Indp.,No Crisis Data
BH,Bahrain,1998,Special./Indp.,No Crisis Data
BH,Bahrain,1999,Special./Indp.,No Crisis Data
BH,Bahrain,2000,Special./Indp.,No Crisis Data
BH,Bahrain,2001,Special./Indp.,No Crisis Data
BH,Bahrain,2002,Special./Indp.,No Crisis Data
BH,Bahrain,2003,Special./Indp.,No Crisis Data
BH,Bahrain,2004,Special./Indp.,No Crisis Data
BH,Bahrain,2005,Special./Indp.,No Crisis Data
BH,Bahrain,2006,Special./Indp.,No Crisis Data
BH,Bahrain,2007,Special./Indp.,No Crisis Data
BD,Bangladesh,1971,No Explicit DI,No Crisis Data
BD,Bangladesh,1972,No Explicit DI,No Crisis Data
BD,Bangladesh,1973,No Explicit DI,No Crisis Data
BD,Bangladesh,1974,No Explicit DI,No Crisis Data
BD,Bangladesh,1975,No Explicit DI,No Crisis Data
BD,Bangladesh,1976,No Explicit DI,No Crisis Data
BD,Bangladesh,1977,No Explicit DI,No Crisis Data
BD,Bangladesh,1978,No Explicit DI,No Crisis Data
BD,Bangladesh,1979,No Explicit DI,No Crisis Data
BD,Bangladesh,1980,No Explicit DI,No Crisis Data
BD,Bangladesh,1981,No Explicit DI,No Crisis Data
BD,Bangladesh,1982,No Explicit DI,No Crisis Data
BD,Bangladesh,1983,No Explicit DI,No Crisis Data
BD,Bangladesh,1984,Special./Indp.,No Crisis Data
BD,Bangladesh,1985,Special./Indp.,No Crisis Data
BD,Bangladesh,1986,Special./Indp.,No Crisis Data
BD,Bangladesh,1987,Special./Indp.,No Crisis Data
BD,Bangladesh,1988,Special./Indp.,No Crisis Data
BD,Bangladesh,1989,Special./Indp.,No Crisis Data
BD,Bangladesh,1990,Special./Indp.,No Crisis Data
BD,Bangladesh,1991,Special./Indp.,No Crisis Data
BD,Bangladesh,1992,Special./Indp.,No Crisis Data
BD,Bangladesh,1993,Special./Indp.,No Crisis Data
BD,Bangladesh,1994,Special./Indp.,No Crisis Data
BD,Bangladesh,1995,Special./Indp.,No Crisis Data
BD,Bangladesh,1996,Special./Indp.,No Crisis Data
BD,Bangladesh,1997,Special./Indp.,No Crisis Data
BD,Bangladesh,1998,Special./Indp.,No Crisis Data
BD,Bangladesh,1999,Special./Indp.,No Crisis Data
BD,Bangladesh,2000,Special./Indp.,No Crisis Data
BD,Bangladesh,2001,Special./Indp.,No Crisis Data
BD,Bangladesh,2002,Special./Indp.,No Crisis Data
BD,Bangladesh,2003,Special./Indp.,No Crisis Data
BD,Bangladesh,2004,Special./Indp.,No Crisis Data
BD,Bangladesh,2005,Special./Indp.,No Crisis Data
BD,Bangladesh,2006,Special./Indp.,No Crisis Data
BD,Bangladesh,2007,Special./Indp.,No Crisis Data
BB,Barbados,1970,No Explicit DI,No Crisis Data
BB,Barbados,1971,No Explicit DI,No Crisis Data
BB,Barbados,1972,No Explicit DI,No Crisis Data
BB,Barbados,1973,No Explicit DI,No Crisis Data
BB,Barbados,1974,No Explicit DI,No Crisis Data
BB,Barbados,1975,No Explicit DI,No Crisis Data
BB,Barbados,1976,No Explicit DI,No Crisis Data
BB,Barbados,1977,No Explicit DI,No Crisis Data
BB,Barbados,1978,No Explicit DI,No Crisis Data
BB,Barbados,1979,No Explicit DI,No Crisis Data
BB,Barbados,1980,No Explicit DI,No Crisis Data
BB,Barbados,1981,No Explicit DI,No Crisis Data
BB,Barbados,1982,No Explicit DI,No Crisis Data
BB,Barbados,1983,No Explicit DI,No Crisis Data
BB,Barbados,1984,No Explicit DI,No Crisis Data
BB,Barbados,1985,No Explicit DI,No Crisis Data
BB,Barbados,1986,No Explicit DI,No Crisis Data
BB,Barbados,1987,No Explicit DI,No Crisis Data
BB,Barbados,1988,No Explicit DI,No Crisis Data
BB,Barbados,1989,No Explicit DI,No Crisis Data
BB,Barbados,1990,No Explicit DI,No Crisis Data
BB,Barbados,1991,No Explicit DI,No Crisis Data
BB,Barbados,1992,No Explicit DI,No Crisis Data
BB,Barbados,1993,No Explicit DI,No Crisis Data
BB,Barbados,1994,No Explicit DI,No Crisis Data
BB,Barbados,1995,No Explicit DI,No Crisis Data
BB,Barbados,1996,No Explicit DI,No Crisis Data
BB,Barbados,1997,No Explicit DI,No Crisis Data
BB,Barbados,1998,No Explicit DI,No Crisis Data
BB,Barbados,1999,No Explicit DI,No Crisis Data
BB,Barbados,2000,No Explicit DI,No Crisis Data
BB,Barbados,2001,No Explicit DI,No Crisis Data
BB,Barbados,2002,No Explicit DI,No Crisis Data
BB,Barbados,2003,No Explicit DI,No Crisis Data
BB,Barbados,2004,No Explicit DI,No Crisis Data
BB,Barbados,2005,No Explicit DI,No Crisis Data
BB,Barbados,2006,No Explicit DI,No Crisis Data
BB,Barbados,2007,Special./Indp.,No Crisis Data
BY,Belarus,1991,No Explicit DI,No Crisis Data
BY,Belarus,1992,No Explicit DI,No Crisis Data
BY,Belarus,1993,No Explicit DI,No Crisis Data
BY,Belarus,1994,No Explicit DI,No Crisis Data
BY,Belarus,1995,No Explicit DI,No Crisis Data
BY,Belarus,1996,Ministry of Finance,No Crisis Data
BY,Belarus,1997,Ministry of Finance,No Crisis Data
BY,Belarus,1998,Ministry of Finance,No Crisis Data
BY,Belarus,1999,Ministry of Finance,No Crisis Data
BY,Belarus,2000,Central Bank,No Crisis Data
BY,Belarus,2001,Central Bank,No Crisis Data
BY,Belarus,2002,Central Bank,No Crisis Data
BY,Belarus,2003,Central Bank,No Crisis Data
BY,Belarus,2004,Central Bank,No Crisis Data
BY,Belarus,2005,Central Bank,No Crisis Data
BY,Belarus,2006,Central Bank,No Crisis Data
BY,Belarus,2007,Central Bank,No Crisis Data
BE,Belgium,1970,No Explicit DI,Data Available
BE,Belgium,1971,No Explicit DI,Data Available
BE,Belgium,1972,No Explicit DI,Data Available
BE,Belgium,1973,No Explicit DI,Data Available
BE,Belgium,1974,Special./Indp.,Data Available
BE,Belgium,1975,Special./Indp.,Data Available
BE,Belgium,1976,Special./Indp.,Data Available
BE,Belgium,1977,Special./Indp.,Data Available
BE,Belgium,1978,Special./Indp.,Data Available
BE,Belgium,1979,Special./Indp.,Data Available
BE,Belgium,1980,Special./Indp.,Data Available
BE,Belgium,1981,Special./Indp.,Data Available
BE,Belgium,1982,Special./Indp.,Data Available
BE,Belgium,1983,Special./Indp.,Data Available
BE,Belgium,1984,Special./Indp.,Data Available
BE,Belgium,1985,Special./Indp.,Data Available
BE,Belgium,1986,Special./Indp.,Data Available
BE,Belgium,1987,Special./Indp.,Data Available
BE,Belgium,1988,Special./Indp.,Data Available
BE,Belgium,1989,Special./Indp.,Data Available
BE,Belgium,1990,Special./Indp.,Data Available
BE,Belgium,1991,Special./Indp.,Data Available
BE,Belgium,1992,Special./Indp.,Data Available
BE,Belgium,1993,Special./Indp.,Data Available
BE,Belgium,1994,Special./Indp.,Data Available
BE,Belgium,1995,Special./Indp.,Data Available
BE,Belgium,1996,Special./Indp.,Data Available
BE,Belgium,1997,Special./Indp.,Data Available
BE,Belgium,1998,Special./Indp.,Data Available
BE,Belgium,1999,Special./Indp.,Data Available
BE,Belgium,2000,Special./Indp.,Data Available
BE,Belgium,2001,Special./Indp.,Data Available
BE,Belgium,2002,Special./Indp.,Data Available
BE,Belgium,2003,Special./Indp.,Data Available
BE,Belgium,2004,Special./Indp.,Data Available
BE,Belgium,2005,Special./Indp.,Data Available
BE,Belgium,2006,Special./Indp.,Data Available
BE,Belgium,2007,Special./Indp.,Data Available
BZ,Belize,1981,No Explicit DI,No Crisis Data
BZ,Belize,1982,No Explicit DI,No Crisis Data
BZ,Belize,1983,No Explicit DI,No Crisis Data
BZ,Belize,1984,No Explicit DI,No Crisis Data
BZ,Belize,1985,No Explicit DI,No Crisis Data
BZ,Belize,1986,No Explicit DI,No Crisis Data
BZ,Belize,1987,No Explicit DI,No Crisis Data
BZ,Belize,1988,No Explicit DI,No Crisis Data
BZ,Belize,1989,No Explicit DI,No Crisis Data
BZ,Belize,1990,No Explicit DI,No Crisis Data
BZ,Belize,1991,No Explicit DI,No Crisis Data
BZ,Belize,1992,No Explicit DI,No Crisis Data
BZ,Belize,1993,No Explicit DI,No Crisis Data
BZ,Belize,1994,No Explicit DI,No Crisis Data
BZ,Belize,1995,No Explicit DI,No Crisis Data
BZ,Belize,1996,No Explicit DI,No Crisis Data
BZ,Belize,1997,No Explicit DI,No Crisis Data
BZ,Belize,1998,No Explicit DI,No Crisis Data
BZ,Belize,1999,No Explicit DI,No Crisis Data
BZ,Belize,2000,No Explicit DI,No Crisis Data
BZ,Belize,2001,No Explicit DI,No Crisis Data
BZ,Belize,2002,No Explicit DI,No Crisis Data
BZ,Belize,2003,No Explicit DI,No Crisis Data
BZ,Belize,2004,No Explicit DI,No Crisis Data
BZ,Belize,2005,No Explicit DI,No Crisis Data
BZ,Belize,2006,No Explicit DI,No Crisis Data
BZ,Belize,2007,No Explicit DI,No Crisis Data
BJ,Benin,1970,No Explicit DI,No Crisis Data
BJ,Benin,1971,No Explicit DI,No Crisis Data
BJ,Benin,1972,No Explicit DI,No Crisis Data
BJ,Benin,1973,No Explicit DI,No Crisis Data
BJ,Benin,1974,No Explicit DI,No Crisis Data
BJ,Benin,1975,No Explicit DI,No Crisis Data
BJ,Benin,1976,No Explicit DI,No Crisis Data
BJ,Benin,1977,No Explicit DI,No Crisis Data
BJ,Benin,1978,No Explicit DI,No Crisis Data
BJ,Benin,1979,No Explicit DI,No Crisis Data
BJ,Benin,1980,No Explicit DI,No Crisis Data
BJ,Benin,1981,No Explicit DI,No Crisis Data
BJ,Benin,1982,No Explicit DI,No Crisis Data
